allwt,INCOME,white,VOTE,VOTE_F,EDUC,FDSTMPd,FDSTMP,SOCSECd,SOCSECf,MEDAIDd,MEDICAID,MEDICAREd,MEDICAREf,WELFAREd,WELFARE,EITCd,EITCf,UNEMPLOYd,UNEMPLOYf,GOVTPENd,GOVTPENf,PUBHOUd,PUBHOU,DISABITYd,DISABITYf,WICd,WICf,HEADf,HEADd,COLLGRNTf,COLLGRNTd,STULOANSf,STULOANSd,VETBENf,VETBENd,WRKCOMPf,WRKCOMPd,BUSLOANf,BUSLOANd,GIBILLf,GIBILLd,MTGDEDTf,MTGDEDTd,PTYIDd,PTYIDf,FOLLOWPA,sex,TRUSTOFF,PEOPSAY,Total,total_means,total_ent,total_uni,total_loans,aid_dummy
1.1375,7,1,1,Always,2,0,None,0,R's Family,0,2,0,None,0,None,1,Respondent,0,None,1,Respondent,0,None,0,None,0,None,None,0,R and R's Family,1,R and R's Family,1,R's Family,0,R and R's Family,1,None,0,None,0,R and R's Family,1,1,Republican,1,2,1,2,7,3,1,1,1,1
1.1375,3,1,2,Usually,3,0,None,0,None,0,3,0,None,0,None,0,None,1,Respondent,0,None,0,None,0,None,0,None,None,0,R and R's Family,1,Respondent,1,R's Family,0,None,0,None,0,R's Family,0,None,0,0,Democrat,3,2,2,1,4,2,0,1,1,1
0.6125,6,1,1,Always,3,0,None,0,R's Family,0,2,0,R's Family,0,None,0,None,0,None,0,None,0,None,0,R's Family,0,None,None,0,R's Family,0,R's Family,0,None,0,None,0,Respondent,1,None,0,R and R's Family,1,0,Democrat,2,2,1,2,3,1,0,0,1,1
0.525,1,1,1,Always,2,0,None,1,Respondent,0,2,1,Respondent,0,None,0,None,0,None,0,None,0,None,0,None,0,None,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,1,Republican,1,2,2,2,3,0,2,0,0,1
0.6125,3,1,1,Always,3,0,None,1,R and R's Family,0,2,0,None,0,None,0,None,1,R and R's Family,0,None,0,None,0,R's Family,0,None,None,0,None,0,None,0,None,0,None,0,None,0,R's Family,0,R and R's Family,1,0,Democrat,1,2,2,2,4,2,1,1,0,1
1.3125,5,1,3,Sometimes,4,0,None,0,R's Family,0,1,0,R's Family,0,None,0,R's Family,0,R's Family,0,None,0,None,0,None,0,None,None,0,R's Family,0,R's Family,0,R's Family,0,Respondent,1,None,0,None,0,Respondent,1,1,Republican,2,1,1,1,3,1,0,1,0,1
0.6125,3,1,1,Always,4,0,None,0,None,0,2,0,None,0,None,1,R and R's Family,0,None,0,None,0,None,0,None,0,None,None,0,None,0,None,0,R's Family,0,None,0,None,0,None,0,R and R's Family,1,0,Democrat,1,2,2,2,3,2,0,0,0,1
1.44375,3,1,2,Usually,1,0,None,0,R's Family,0,2,0,R's Family,0,None,0,R's Family,0,None,0,None,0,None,0,None,0,None,None,0,None,0,None,0,R's Family,0,R's Family,0,None,0,None,0,None,0,1,Republican,2,2,2,2,1,0,0,0,0,1
0.525,3,1,1,Always,2,0,None,1,R and R's Family,0,1,1,R and R's Family,0,R's Family,0,R's Family,0,R's Family,1,R and R's Family,0,None,0,R's Family,0,R's Family,None,0,R's Family,0,R's Family,0,R's Family,0,R and R's Family,1,None,0,None,0,R and R's Family,1,1,Republican,1,2,2,2,6,1,3,1,0,1
0.7,3,1,1,Always,2,0,None,0,R's Family,0,2,0,R's Family,0,None,0,None,0,None,0,None,0,None,0,None,0,None,None,0,None,0,R's Family,0,None,0,None,0,None,0,None,0,None,0,1,Republican,1,1,1,1,1,0,0,0,0,1
2.432,2,0,1,Always,1,0,None,0,R's Family,0,3,0,R's Family,0,None,1,R and R's Family,1,Respondent,0,None,0,None,0,None,0,None,None,0,None,0,R's Family,0,R's Family,0,None,0,None,0,None,0,R and R's Family,1,0,Democrat,1,1,2,2,3,3,0,1,0,1
0.6125,2,1,1,Always,1,0,None,0,R's Family,0,4,0,R's Family,0,None,1,Respondent,0,None,0,None,0,None,0,None,0,None,None,0,R's Family,0,R's Family,0,None,0,Respondent,1,None,0,None,0,None,0,0,Democrat,1,2,1,2,3,1,0,1,0,1
0.91875,2,1,2,Usually,1,0,None,1,Respondent,0,2,1,Respondent,0,None,0,None,0,None,0,None,0,None,0,None,0,None,R's Family,0,None,0,None,0,Respondent,1,None,0,None,0,None,0,None,0,0,Democrat,1,1,2,2,4,0,3,0,0,1
0.91875,4,1,1,Always,3,0,None,1,Respondent,1,1,1,Respondent,0,None,0,None,0,None,0,None,0,None,0,None,0,None,None,0,None,0,None,0,Respondent,1,None,0,None,0,None,0,R's Family,0,1,Republican,1,1,1,2,5,1,3,0,0,1
0.525,6,1,1,Always,3,0,None,0,R's Family,0,1,0,R's Family,0,None,0,R's Family,0,None,0,None,0,None,0,None,0,R's Family,None,0,R's Family,0,R's Family,0,Respondent,1,None,0,None,0,Respondent,1,Respondent,1,1,Republican,1,2,1,2,4,1,2,0,0,1
0.525,1,1,3,Sometimes,2,0,None,1,Respondent,0,1,1,Respondent,0,None,0,None,0,None,0,None,0,None,0,None,0,None,None,0,None,0,None,0,None,0,None,0,None,0,R's Family,0,None,0,1,Republican,2,2,1,1,3,0,2,0,0,1
0.525,1,1,1,Always,1,0,None,1,Respondent,0,1,1,Respondent,0,None,1,Respondent,0,None,1,Respondent,0,None,0,None,0,None,None,0,None,0,None,0,Respondent,1,None,0,None,0,None,0,None,0,1,Republican,1,2,1,2,6,1,4,0,0,1
1.3125,2,1,1,Always,2,1,Respondent,1,Respondent,0,1,1,Respondent,1,Respondent,0,R's Family,1,Respondent,0,None,1,Respondent,0,None,0,R's Family,R's Family,0,Respondent,1,Respondent,1,R's Family,0,Respondent,1,None,0,R's Family,0,None,0,1,Republican,2,1,1,2,10,5,2,2,1,1
0.6125,3,1,2,Usually,1,0,None,0,R's Family,0,2,0,R's Family,0,None,0,R's Family,0,R's Family,0,None,0,None,0,R's Family,0,None,None,0,None,0,R's Family,0,R's Family,0,Respondent,1,None,0,R's Family,0,R's Family,0,0,Democrat,2,2,1,1,2,0,0,1,0,1
0.6125,4,1,1,Always,3,0,None,0,R's Family,0,1,0,R's Family,0,None,1,R and R's Family,0,R's Family,0,None,0,R's Family,0,R's Family,0,None,R's Family,0,None,0,None,0,R and R's Family,1,R's Family,0,None,0,R and R's Family,1,R and R's Family,1,1,Republican,1,2,1,2,5,2,2,0,0,1
1.3125,4,1,1,Always,3,0,None,0,None,0,4,0,None,0,None,1,Respondent,0,R's Family,0,None,0,None,0,None,1,R and R's Family,None,0,R's Family,0,Respondent,1,R's Family,0,None,0,R's Family,0,None,0,Respondent,1,1,Republican,1,1,1,2,5,3,0,0,1,1
1.3125,3,1,2,Usually,2,1,Respondent,0,None,0,1,0,None,1,R and R's Family,1,Respondent,1,Respondent,0,None,0,None,0,None,0,R's Family,None,0,Respondent,1,Respondent,1,None,0,None,0,None,0,None,0,None,0,1,Republican,1,1,1,2,7,5,0,1,1,1
0.91875,2,1,1,Always,1,0,None,1,Respondent,0,1,1,Respondent,0,None,0,None,1,R and R's Family,0,R's Family,0,None,0,None,0,R's Family,R's Family,0,R's Family,0,R's Family,0,None,0,None,0,None,0,None,0,Respondent,1,1,Republican,1,1,2,2,5,2,2,1,0,1
0.525,2,1,1,Always,2,0,None,1,R and R's Family,0,1,1,R and R's Family,0,None,0,None,0,None,1,Respondent,0,None,0,None,0,None,None,0,R's Family,0,R's Family,0,None,0,None,0,None,0,None,0,R and R's Family,1,0,Democrat,1,2,2,2,5,1,3,0,0,1
0.6125,1,1,1,Always,1,0,R's Family,0,None,0,1,0,None,0,None,1,R and R's Family,1,R and R's Family,0,None,0,None,0,None,0,R's Family,None,0,None,0,R's Family,0,R's Family,0,None,0,None,0,None,0,None,0,1,Republican,2,2,2,2,3,2,0,1,0,1
3.597,3,0,2,Usually,3,0,None,0,None,0,2,0,None,0,None,1,Respondent,0,None,0,None,0,None,0,None,0,None,None,0,None,0,Respondent,1,None,0,None,0,None,0,None,0,None,0,1,Republican,2,2,1,2,2,1,0,0,1,1
0.91875,3,1,1,Always,1,0,None,1,Respondent,0,1,1,Respondent,0,None,0,None,0,None,1,Respondent,0,None,0,None,0,None,None,0,None,0,None,0,Respondent,1,None,0,None,0,Respondent,1,None,0,1,Republican,1,1,1,2,6,0,5,0,0,1
0.525,3,1,1,Always,3,0,None,0,R's Family,0,1,0,R's Family,0,None,0,None,0,None,0,None,0,R's Family,0,R's Family,0,R's Family,None,0,None,0,None,0,R's Family,0,None,0,None,0,R's Family,0,R and R's Family,1,1,Republican,3,2,2,1,2,1,0,0,0,1
0.7,6,1,1,Always,4,0,R's Family,0,None,0,1,0,None,0,R's Family,0,None,0,R's Family,0,R's Family,0,None,0,None,0,None,R's Family,0,R's Family,0,R and R's Family,1,R's Family,0,None,0,None,0,R's Family,0,R and R's Family,1,0,Democrat,1,1,1,1,3,1,0,0,1,1
1.1375,4,1,1,Always,2,0,None,0,None,0,2,0,None,0,None,1,R and R's Family,0,None,0,None,0,None,0,None,0,None,None,0,R and R's Family,1,R and R's Family,1,R's Family,0,R's Family,0,None,0,R's Family,0,R and R's Family,1,1,Republican,1,2,2,2,5,3,0,0,1,1
1.1375,3,1,3,Sometimes,3,0,None,0,R's Family,0,1,0,R's Family,0,None,0,None,1,R and R's Family,0,None,0,None,0,None,0,R's Family,R's Family,0,R's Family,0,R and R's Family,1,R's Family,0,R's Family,0,None,0,None,0,R's Family,0,0,Democrat,2,2,2,2,3,1,0,1,1,1
0.6125,4,1,1,Always,2,0,None,0,None,0,1,1,Respondent,0,None,0,None,0,None,0,None,0,None,0,None,0,R's Family,None,0,None,0,None,0,None,0,None,0,Respondent,1,None,0,R and R's Family,1,1,Republican,1,2,2,1,4,1,1,0,1,1
0.91875,3,1,1,Always,1,0,None,1,Respondent,0,1,0,None,0,None,0,None,0,None,1,Respondent,0,None,0,None,0,None,None,0,R's Family,0,None,0,None,0,None,0,None,0,None,0,None,0,1,Republican,1,1,2,2,3,0,2,0,0,1
0.6125,4,1,1,Always,2,0,None,0,R's Family,0,1,0,R's Family,0,None,0,None,1,Respondent,0,None,0,None,0,None,0,None,None,0,None,0,R and R's Family,1,None,0,None,0,None,0,None,0,Respondent,1,1,Republican,1,2,1,2,4,2,0,1,1,1
1.3125,2,1,2,Usually,1,0,None,0,None,0,1,0,None,0,None,1,R and R's Family,1,Respondent,0,None,0,None,0,None,1,R and R's Family,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,0,Democrat,2,1,2,2,4,3,0,1,0,1
0.7,7,1,1,Always,4,0,None,0,R's Family,0,1,0,R's Family,0,None,0,None,0,None,0,R's Family,0,None,0,None,0,None,None,0,None,0,R's Family,0,R's Family,0,None,0,None,0,None,0,R's Family,0,1,Republican,2,1,2,2,1,0,0,0,0,1
0.6125,4,1,1,Always,3,0,None,0,None,0,1,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,None,0,None,0,None,0,None,0,None,0,None,0,None,0,Respondent,1,1,Republican,1,2,1,2,2,1,0,0,0,1
1.44375,2,1,2,Usually,1,0,None,0,R's Family,0,1,0,R's Family,0,None,1,Respondent,0,R's Family,0,None,0,None,0,R's Family,0,None,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,0,Democrat,3,2,2,2,2,1,0,0,0,1
0.7,5,1,1,Always,3,0,None,0,None,0,1,0,None,0,None,0,None,0,None,0,R's Family,0,None,0,None,0,None,None,0,R's Family,0,R's Family,0,Respondent,1,R's Family,0,None,0,None,0,Respondent,1,1,Republican,1,1,1,2,3,1,1,0,0,1
0.7,1,1,1,Always,2,0,R's Family,0,R's Family,0,1,0,R's Family,0,None,0,None,1,R and R's Family,0,None,0,None,1,Respondent,0,None,R's Family,0,None,0,None,0,R's Family,0,None,0,None,0,R's Family,0,Respondent,1,0,Democrat,1,1,2,1,4,2,0,2,0,1
1.88125,2,1,1,Always,2,0,R's Family,0,R's Family,0,1,0,R's Family,0,R's Family,0,R's Family,1,Respondent,0,None,0,R's Family,0,None,0,R's Family,R's Family,0,None,0,R and R's Family,1,Respondent,1,None,0,None,0,Respondent,1,Respondent,1,1,Republican,1,1,1,2,6,2,2,1,1,1
0.6125,5,1,2,Usually,3,0,None,0,R's Family,0,1,0,R's Family,0,None,1,Respondent,0,R's Family,0,R's Family,0,None,0,None,0,None,None,0,None,0,None,0,None,0,None,0,None,0,None,0,R and R's Family,1,0,Democrat,1,2,1,2,3,2,0,0,0,1
1.1375,2,1,1,Always,1,0,R's Family,0,R's Family,0,1,0,R's Family,0,R's Family,0,R's Family,1,Respondent,0,R's Family,0,R's Family,0,None,0,R's Family,R's Family,0,R's Family,0,R's Family,0,R's Family,0,None,0,None,0,R's Family,0,Respondent,1,0,Democrat,3,2,2,1,3,2,0,1,0,1
0.525,1,1,1,Always,1,0,None,1,Respondent,0,4,1,Respondent,0,None,0,None,0,None,0,None,0,None,0,None,0,None,None,0,None,0,None,0,Respondent,1,None,0,None,0,None,0,None,0,0,Democrat,1,2,1,1,4,0,3,0,0,1
1.824,4,0,2,Usually,4,0,R's Family,1,R and R's Family,1,2,1,R and R's Family,0,None,1,R and R's Family,0,R's Family,0,R's Family,0,R's Family,0,R's Family,0,R's Family,R's Family,0,R and R's Family,1,R and R's Family,1,R's Family,0,None,0,R's Family,0,R's Family,0,R and R's Family,1,0,Democrat,1,2,1,2,7,4,2,0,1,1
0.6125,5,1,2,Usually,4,0,None,0,R's Family,0,1,0,R's Family,0,None,1,Respondent,0,R's Family,1,Respondent,0,None,0,None,0,None,None,0,R's Family,0,R's Family,0,None,0,None,0,None,0,None,0,None,0,1,Republican,2,2,1,1,3,1,1,0,0,1
1.1375,2,1,1,Always,3,0,None,0,R's Family,1,1,0,R's Family,0,None,1,Respondent,0,R's Family,0,None,0,None,0,None,1,R and R's Family,None,0,R and R's Family,1,R and R's Family,1,R's Family,0,None,0,R's Family,0,R's Family,0,Respondent,1,0,Democrat,2,2,1,2,7,5,0,0,1,1
0.525,1,1,1,Always,2,1,R and R's Family,1,Respondent,1,2,1,Respondent,0,R's Family,0,R's Family,1,Respondent,0,None,0,None,1,Respondent,1,R and R's Family,R and R's Family,1,None,0,None,0,Respondent,1,None,0,None,0,Respondent,1,None,0,0,Democrat,1,2,2,2,11,5,4,2,0,1
0.91875,6,1,2,Usually,4,0,None,1,R and R's Family,0,2,1,R and R's Family,0,None,1,R and R's Family,1,Respondent,0,None,0,None,0,None,0,None,None,0,None,0,R's Family,0,Respondent,1,Respondent,1,None,0,Respondent,1,Respondent,1,1,Republican,1,1,1,2,9,3,4,2,0,1
0.525,2,1,1,Always,1,0,None,1,Respondent,0,1,1,Respondent,0,None,0,None,0,None,0,None,0,None,0,None,0,None,None,0,None,0,R's Family,0,R's Family,0,None,0,None,0,None,0,None,0,1,Republican,1,2,1,2,3,0,2,0,0,1
0.525,3,1,1,Always,1,0,None,0,R's Family,0,1,0,R's Family,0,None,0,None,0,None,1,Respondent,0,None,0,None,0,None,None,0,None,0,R's Family,0,None,0,None,0,None,0,None,0,R and R's Family,1,0,Democrat,1,2,2,1,3,1,1,0,0,1
1.88125,3,1,1,Always,3,0,None,0,R's Family,0,3,0,R's Family,0,None,0,None,0,None,0,None,0,None,0,None,0,None,None,0,R's Family,0,R and R's Family,1,None,0,None,0,None,0,None,0,Respondent,1,1,Republican,1,1,1,2,3,1,0,0,1,1
1.88125,2,1,1,Always,2,0,None,0,R's Family,0,1,0,R's Family,0,None,0,None,0,None,0,None,0,None,0,None,0,None,None,0,None,0,None,0,None,0,R's Family,0,None,0,None,0,None,0,1,Republican,3,1,1,2,1,0,0,0,0,1
0.7,2,1,2,Usually,4,0,None,0,R's Family,0,1,0,R's Family,0,None,1,R and R's Family,1,R and R's Family,0,None,0,None,0,None,0,None,R's Family,0,R and R's Family,1,R and R's Family,1,Respondent,1,Respondent,1,None,0,Respondent,1,R and R's Family,1,1,Republican,2,1,1,2,9,4,2,2,1,1
0.91875,5,1,1,Always,3,0,None,0,R's Family,0,2,0,R's Family,0,None,0,None,0,None,0,None,0,None,0,None,0,None,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,1,Republican,1,1,1,2,1,0,0,0,0,1
0.91875,5,1,1,Always,4,0,None,0,None,0,1,0,None,0,None,0,None,0,None,1,Respondent,0,None,0,None,0,None,None,0,R's Family,0,R and R's Family,1,R and R's Family,1,None,0,R's Family,0,Respondent,1,Respondent,1,1,Republican,1,1,2,2,6,1,3,0,1,1
1.1375,7,1,1,Always,4,0,None,0,R's Family,0,2,0,R's Family,0,None,0,None,0,None,0,R's Family,0,None,0,None,0,None,None,0,None,0,None,0,None,0,None,0,None,0,None,0,R and R's Family,1,1,Republican,1,2,1,2,2,1,0,0,0,1
0.91875,3,1,2,Usually,2,0,None,1,R and R's Family,0,1,1,R and R's Family,0,None,1,R and R's Family,0,None,0,None,0,None,0,None,0,None,None,0,None,0,None,0,None,0,None,0,None,0,None,0,R and R's Family,1,1,Republican,2,1,2,2,5,2,2,0,0,1
0.91875,2,1,1,Always,2,0,None,0,R's Family,0,1,1,R and R's Family,0,None,0,None,0,None,1,Respondent,0,None,0,None,0,None,None,0,R's Family,0,R's Family,0,None,0,None,0,None,0,None,0,None,0,0,Democrat,1,1,2,2,3,0,2,0,0,1
3.597,4,0,2,Usually,2,0,R's Family,0,R's Family,0,2,0,R's Family,0,R's Family,0,R's Family,0,R's Family,0,None,0,None,0,R's Family,0,None,None,0,None,0,R's Family,0,None,0,None,0,None,0,None,0,None,0,1,Republican,4,2,2,2,0,0,0,0,0,0
0.525,3,1,1,Always,4,0,None,0,R's Family,0,1,0,R's Family,0,None,1,R and R's Family,0,R's Family,0,None,0,None,0,R's Family,0,None,None,0,R and R's Family,1,R and R's Family,1,None,0,R's Family,0,None,0,None,0,R and R's Family,1,0,Democrat,1,2,2,2,5,3,0,0,1,1
0.91875,3,1,1,Always,2,0,None,0,R's Family,0,2,1,Respondent,0,None,0,None,0,None,0,None,0,None,0,None,0,None,None,0,Respondent,1,None,0,Respondent,1,None,0,None,0,Respondent,1,None,0,1,Republican,1,1,2,2,5,1,3,0,0,1
1.44375,2,1,2,Usually,2,0,None,0,None,0,2,0,None,0,None,0,None,1,Respondent,0,None,0,None,0,None,0,None,None,0,None,0,None,0,None,0,None,0,None,0,None,0,Respondent,1,0,Democrat,3,2,2,1,3,2,0,1,0,1
0.7,4,1,1,Always,1,0,None,0,R's Family,0,1,0,R's Family,0,None,0,None,0,R's Family,1,Respondent,0,None,0,None,0,None,None,0,None,0,None,0,Respondent,1,None,0,None,0,None,0,R and R's Family,1,1,Republican,1,1,1,2,4,1,2,0,0,1
1.1375,3,1,2,Usually,4,0,None,0,R's Family,0,1,0,R's Family,0,None,1,Respondent,1,Respondent,0,None,0,None,0,None,0,None,R's Family,0,Respondent,1,Respondent,1,R's Family,0,Respondent,1,None,0,R's Family,0,Respondent,1,1,Republican,2,2,1,2,7,4,0,2,1,1
0.91875,3,1,2,Usually,2,0,None,1,Respondent,0,3,1,Respondent,0,None,0,None,0,None,0,None,0,None,0,None,0,None,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,0,Democrat,1,1,2,1,3,0,2,0,0,1
0.7,5,1,1,Always,1,0,None,0,R's Family,0,1,0,R's Family,0,None,0,None,0,None,0,None,0,None,0,None,0,None,None,0,R's Family,0,R's Family,0,None,0,None,0,None,0,None,0,None,0,1,Republican,1,1,1,2,1,0,0,0,0,1
0.6125,1,1,2,Usually,1,0,None,0,None,0,1,0,None,1,R and R's Family,1,R and R's Family,0,None,0,None,1,Respondent,0,None,0,None,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,0,Democrat,2,2,2,1,4,3,0,0,0,1
1.1375,2,1,1,Always,2,0,None,0,None,0,1,0,None,0,None,1,Respondent,0,None,0,None,0,None,0,None,0,None,None,0,None,0,None,0,R's Family,0,None,0,None,0,None,0,None,0,1,Republican,1,2,2,2,2,1,0,0,0,1
0.6125,7,1,1,Always,4,0,None,0,None,0,1,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,None,0,R and R's Family,1,None,0,R's Family,0,Respondent,1,None,0,R's Family,0,Respondent,1,0,Democrat,1,2,2,2,4,2,0,1,0,1
1.44375,4,1,1,Always,1,0,None,0,None,0,1,0,None,0,None,0,R's Family,0,None,0,None,0,None,0,None,0,None,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,1,Republican,3,2,1,2,1,0,0,0,0,1
1.88125,2,1,1,Always,1,0,None,0,None,0,1,0,None,0,None,0,None,0,R's Family,0,None,0,None,0,None,0,None,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,0,Democrat,3,1,2,1,1,0,0,0,0,1
1.1375,3,1,2,Usually,2,0,None,0,R's Family,0,2,0,R's Family,0,R's Family,1,Respondent,0,None,0,None,0,R's Family,0,None,0,None,None,0,None,0,R's Family,0,R's Family,0,R and R's Family,1,None,0,R's Family,0,Respondent,1,0,Democrat,2,2,1,2,4,2,0,1,0,1
0.525,1,1,1,Always,1,0,R's Family,0,R's Family,0,2,0,R's Family,0,R's Family,1,R and R's Family,1,Respondent,0,None,0,None,0,None,0,R's Family,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,0,Democrat,2,2,2,1,3,2,0,1,0,1
0.525,2,1,1,Always,1,0,None,1,Respondent,0,2,1,Respondent,0,None,0,None,0,None,0,None,0,None,0,None,0,None,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,1,Republican,1,2,2,2,3,0,2,0,0,1
1.3125,2,1,2,Usually,4,0,None,1,R and R's Family,0,2,1,Respondent,0,None,0,None,0,None,0,None,0,None,1,Respondent,0,None,None,0,None,0,R and R's Family,1,None,0,None,0,None,0,None,0,R and R's Family,1,0,Democrat,1,1,2,2,6,1,2,1,1,1
0.91875,3,1,1,Always,2,0,None,0,None,0,1,0,R's Family,1,R and R's Family,0,None,0,None,0,R's Family,0,None,0,None,0,None,R's Family,0,None,0,None,0,R's Family,0,None,0,R's Family,0,None,0,Respondent,1,0,Democrat,1,1,2,2,3,2,0,0,0,1
0.7,5,1,1,Always,4,1,Respondent,0,R's Family,0,3,0,None,0,None,0,None,1,Respondent,0,None,0,None,0,None,0,None,None,0,None,0,None,0,None,0,None,0,None,0,None,0,Respondent,1,1,Republican,1,1,1,2,4,3,0,1,0,1
2.47,5,1,1,Always,4,0,None,0,R's Family,0,2,0,R's Family,0,None,1,Respondent,0,R's Family,0,R's Family,0,None,0,R's Family,0,None,None,0,Respondent,1,Respondent,1,R's Family,0,R's Family,0,None,0,None,0,None,0,0,Democrat,1,2,2,2,4,2,0,0,1,1
0.6125,3,1,1,Always,2,0,None,0,None,0,2,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,None,0,None,0,None,0,None,0,None,0,None,0,None,0,R and R's Family,1,1,Republican,2,2,2,2,2,1,0,0,0,1
0.6125,2,1,1,Always,2,0,R's Family,0,R's Family,0,3,0,None,0,R's Family,0,None,1,R and R's Family,0,None,0,None,0,None,0,R's Family,None,0,R's Family,0,R's Family,0,R's Family,0,R's Family,0,None,0,R's Family,0,R and R's Family,1,1,Republican,1,2,2,2,3,2,0,1,0,1
0.7,3,1,1,Always,2,0,None,0,R's Family,0,2,0,R's Family,0,None,0,R's Family,0,None,0,None,0,R's Family,0,None,0,R's Family,R's Family,0,Respondent,1,R and R's Family,1,Respondent,1,None,0,None,0,Respondent,1,Respondent,1,1,Republican,1,1,2,2,6,2,2,0,1,1
0.7,4,1,2,Usually,3,0,None,0,R's Family,0,1,0,R's Family,0,None,0,None,0,None,0,None,0,None,0,None,0,None,None,0,None,0,None,0,None,0,None,0,None,0,R's Family,0,R and R's Family,1,0,Democrat,1,1,2,2,2,1,0,0,0,1
1.44375,3,1,1,Always,4,0,R's Family,0,None,0,3,0,None,0,R's Family,1,R and R's Family,0,R's Family,0,None,0,None,0,None,0,R's Family,None,0,R and R's Family,1,R and R's Family,1,None,0,R's Family,0,None,0,None,0,R and R's Family,1,0,Democrat,1,2,1,2,5,3,0,0,1,1
